Population,Crude Rate
Japan,109.5
Hungary,106.4
Serbia,92.1
Denmark,87.1
Greece,86
Belgium,83.2
The Netherlands,78.8
Croatia,78.8
Poland,78
Germany,77.3
United Kingdom,76.6
Bosnia and Herzegovina,76.6
France,74
Slovenia,71
Montenegro,70.5
Italy,69.4
United States of America,68.8
Canada,67.8
Ireland,66.2
Latvia,63.9
Romania,63
Spain,62.4
Bulgaria,61.9
Czechia,61.3
Norway,61
Estonia,61
Slovakia,60.7
Iceland,59.5
Cuba,59.1
Austria,58.4
Malta,58.4
"France, New Caledonia",58.1
China,56.3
Luxembourg,56.1
"Korea, Republic of",55.9
Lithuania,55.1
North Macedonia,54.5
Portugal,53.1
"Korea, Democratic Republic of",53
Finland,53
Guam,52.7
Switzerland,52.5
Uruguay,51.7
Australia,51.6
French Polynesia,51.3
New Zealand,50.3
Singapore,49.8
Turkey,48.9
Cyprus,47.3
Sweden,45.2
Armenia,44.5
Belarus,44.1
Russian Federation,43.8
"France, La Réunion",40.2
Republic of Moldova,39.2
Albania,38.5
Ukraine,36.4
Georgia,35.9
Thailand,34
Israel,30.1
Brunei Darussalam,28.3
Viet Nam,27
Argentina,26.8
"France, Martinique",26.6
Samoa,25.2
"France, Guadeloupe",25
Tunisia,24.8
Kazakhstan,24.7
Puerto Rico,24.6
Barbados,22.6
Chile,20.8
Lebanon,20.5
Morocco,19.9
Suriname,19.9
Brazil,19
"Venezuela, Bolivarian Republic of",18.6
Jamaica,18.2
Philippines,17.5
Trinidad and Tobago,17.4
Azerbaijan,16
Malaysia,15.9
Mauritius,15.2
South Africa,15.1
Myanmar,15
Mongolia,14.8
Dominican Republic,14.7
Saint Lucia,14.7
Lao People's Democratic Republic,14.1
French Guiana,14.1
Colombia,13.5
Paraguay,13.1
Libya,12.9
Indonesia,12.7
"Iran, Islamic Republic of",12.5
Kyrgyzstan,12.1
Syrian Arab Republic,11.3
Cambodia,11.3
Algeria,10.9
Gaza Strip and West Bank,10.7
Jordan,10.3
Bahamas,9.9
Sri Lanka,9.7
Peru,8.8
Nepal,8.6
Cabo Verde,8.5
Maldives,8.5
"Bolivia, Plurinational State of",8.3
Turkmenistan,8.3
Sao Tome and Principe,8.2
Costa Rica,8
Bangladesh,7.9
Panama,7.9
Papua New Guinea,7.3
Uzbekistan,7.1
Ecuador,6.7
Timor-Leste,6.7
Belize,6.5
Egypt,6.4
Iraq,6.3
El Salvador,6.3
Bhutan,6.1
Fiji,6
Mexico,5.9
Bahrain,5.6
Haiti,5.5
India,5.3
Vanuatu,4.9
Pakistan,4.8
Kuwait,4.4
Honduras,4.3
Nicaragua,4.3
Guyana,4.3
Tajikistan,4.1
Solomon Islands,3.9
Afghanistan,3.8
Saudi Arabia,3.3
Namibia,3.3
Lesotho,3.1
Qatar,3
Rwanda,2.7
Oman,2.7
Yemen,2.6
Guatemala,2.6
Zimbabwe,2.5
Botswana,2.4
Djibouti,2.4
United Arab Emirates,2.3
The Republic of the Gambia,2.2
Ethiopia,2.1
Eswatini,2
Eritrea,1.9
Gabon,1.8
Ghana,1.7
Somalia,1.7
Cameroon,1.6
Mali,1.6
Liberia,1.6
Kenya,1.5
Sudan,1.5
Guinea,1.5
Burundi,1.5
"Tanzania, United Republic of",1.4
Senegal,1.4
Equatorial Guinea,1.4
Madagascar,1.3
Angola,1.2
Côte d'Ivoire,1.2
Zambia,1.2
Sierra Leone,1.2
Guinea-Bissau,1.2
Uganda,1.1
South Sudan,1.1
Central African Republic,1.1
Mauritania,1.1
Comoros,1.1
"Congo, Democratic Republic of",1
Togo,0.91
Benin,0.9
Chad,0.89
Nigeria,0.87
Malawi,0.77
Burkina Faso,0.76
"Congo, Republic of",0.74
Mozambique,0.68
Niger,0.39
